date,close,volume,marketCap,cpiaucns,cpiaucns_multiplier,cpi_adj_price,20d_vol_avg,100d_vol_avg,daily_diff,daily_returns,daily_diff_pc_change,daily_volume_diff,daily_volume_pc_change,gain,loss,7d_avg_gain,7d_avg_loss,7d_rs,7d_rsi,14d_avg_gain,14d_avg_loss,14d_rs,14d_rsi,50d_avg_gain,50d_avg_loss,50d_rs,50d_rsi,200d_avg_gain,200d_avg_loss,200d_rs,200d_rsi,log_ret,7d_historic_volatility_of_risk-adjusted_return,14d_historic_volatility_of_risk-adjusted_return,252d_historic_volatility_of_risk-adjusted_return,7d_sharpe_ratio,14d_sharpe_ratio,50d_sharpe_ratio,200d_sharpe_ratio
2013-04-28,4.29983,0.0,73773387.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-29,4.3594,0.0,74936909.0,,,,,,0.0595699999999999,0.01385403608979896,,0.0,,0.06,0.0,,,,,,,,,,,,,,,,,0.01375894617800344,,,,,,,
2013-04-30,4.18295,0.0,72037636.0,,,,,,-0.17645,-0.04047575354406574,-3.962061440322315,0.0,,0.0,0.18,,,,,,,,,,,,,,,,,-0.041317693967330094,,,,,,,
2013-05-01,3.64914,0.0,62957992.0,232.945,1.2069286741505505,4.40425170198974,,,-0.5338099999999999,-0.127615677930647,2.0252762822329267,0.0,,0.0,0.53,,,,,,,,,,,,,,,,,-0.136525215850815,,,,,,,
2013-05-02,3.38879,0.0,58565340.0,232.945,1.2069286741505505,4.40425170198974,,,-0.26034999999999986,-0.07134557731410685,-0.5122796500627566,0.0,,0.0,0.26,,,,,,,,,,,,,,,,,-0.07401859787060627,,,,,,,
2013-05-03,2.78957,0.0,48265782.0,232.945,1.2069286741505505,4.40425170198974,,,-0.5992200000000003,-0.17682417618087876,1.3015940080660675,0.0,,0.0,0.6,,,,,,,,,,,,,,,,,-0.19458546343204386,,,,,,,
2013-05-04,3.51708,0.0,60927537.0,232.945,1.2069286741505505,4.40425170198974,,,0.7275100000000001,0.2607964668389753,-2.2140949901538662,0.0,,0.73,0.0,,,,,,,,,,,,,,,,,0.23174363780074847,,,,,,,
2013-05-05,3.63013,0.0,62963530.0,232.945,1.2069286741505505,4.40425170198974,,,0.11304999999999987,0.03214314146962827,-0.8446069469835469,0.0,,0.11,0.0,0.1285714285714286,0.22428571428571425,0.5732484076433122,36.43724696356276,,,,,,,,,,,,,0.031637360415448734,0.36547283008922354,,,-0.2903836520479639,,,
2013-05-06,3.50733,0.0,60937067.0,232.945,1.2069286741505505,4.40425170198974,,,-0.1227999999999998,-0.03382798963122524,-2.0862450243255193,0.0,,0.0,0.12,0.12000000000000001,0.2414285714285714,0.4970414201183433,33.201581027667984,,,,,,,,,,,,,-0.034413396057282775,0.36280268815003847,,,-0.41835524516027484,,,
2013-05-07,3.21463,0.0,55968734.0,232.945,1.2069286741505505,4.40425170198974,,,-0.29269999999999996,-0.08345379533719377,1.3835504885993521,0.0,,0.0,0.29,0.12000000000000001,0.2571428571428572,0.4666666666666667,31.818181818181827,,,,,,,,,,,,,-0.08714279872020758,0.3671806508058635,,,-0.5260005533520153,,,
2013-05-08,3.4615,0.0,60398779.0,232.945,1.2069286741505505,4.40425170198974,,,0.24686999999999992,0.07679577431928397,-1.843423300307482,0.0,,0.25,0.0,0.15571428571428572,0.18142857142857144,0.8582677165354331,46.186440677966104,,,,,,,,,,,,,0.07398975560575627,0.361321588497758,,,0.011477362713142026,,,
2013-05-09,3.4239,0.0,59867679.0,232.945,1.2069286741505505,4.40425170198974,,,-0.037599999999999856,-0.010862342914921275,-1.1523068821647016,0.0,,0.0,0.04,0.15571428571428572,0.15,1.0380952380952382,50.93457943925233,,,,,,,,,,,,,-0.010921768890415962,0.3531958752794564,,,0.17771886738043444,,,
2013-05-10,3.50018,0.0,61338134.0,232.945,1.2069286741505505,4.40425170198974,,,0.07627999999999968,0.02227868804579569,-3.0287234042553184,0.0,,0.08,0.0,0.16714285714285718,0.06428571428571428,2.600000000000001,72.22222222222223,,,,,,,,,,,,,0.022034143498865788,0.2693969722541519,,,0.8997419274668021,,,
2013-05-11,3.38675,0.0,59463981.0,232.945,1.2069286741505505,4.40425170198974,,,-0.1134299999999997,-0.032406904787753654,-2.4870214997378106,0.0,,0.0,0.11,0.06285714285714288,0.07999999999999999,0.785714285714286,44.00000000000001,,,,,,,,,,,,,-0.032943636265684084,0.13974950711431436,,,-0.2109020011640401,,,
2013-05-12,3.24093,0.0,56943561.0,232.945,1.2069286741505505,4.40425170198974,,,-0.14582000000000006,-0.04305602716468593,0.285550559816631,0.0,,0.0,0.15,0.04714285714285716,0.10142857142857142,0.4647887323943664,31.73076923076924,0.08785714285714286,0.16285714285714284,0.5394736842105263,35.042735042735046,,,,,,,,,-0.044010433824682726,0.13680640623057183,0.3752497910587017,,-0.7659670213451134,-0.5555678566184101,,
2013-05-13,3.20229,0.0,56414519.0,232.945,1.2069286741505505,4.40425170198974,,,-0.03864000000000001,-0.011922503725782407,-0.7350157728706626,0.0,,0.0,0.04,0.04714285714285716,0.09,0.5238095238095241,34.375000000000014,0.08357142857142856,0.1657142857142857,0.5043103448275862,33.5243553008596,,,,,,,,,-0.011994146785819337,0.1351514141986337,0.3736205588460489,,-0.6135098122098783,-0.6244961743515615,,
2013-05-14,3.0673,0.0,54127355.0,232.945,1.2069286741505505,4.40425170198974,,,-0.13499000000000017,-0.0421542083946177,2.4935300207039375,0.0,,0.0,0.13,0.04714285714285716,0.06714285714285714,0.7021276595744683,41.25000000000001,0.08357142857142856,0.16214285714285712,0.5154185022026432,34.01162790697674,,,,,,,,,-0.04306848306487021,0.11217591617842192,0.3737219645783712,,-0.3633114645972314,-0.6286817301104171,,
